Izvrsena je manuelna optimizacija  CalculationEngine  5/26/2020 1:38:10 PM
Izvrsena je automatska optimizacija  CalculationEngine  5/26/2020 1:38:16 PM
Izvrsena je manuelna optimizacija  CalculationEngine  5/27/2020 12:27:07 PM
Izvrsena je manuelna optimizacija  CalculationEngine  5/27/2020 12:28:09 PM
Izvrsena je manuelna optimizacija  CalculationEngine  5/27/2020 12:38:24 PM
Izvrsena je manuelna optimizacija  CalculationEngine  5/27/2020 12:51:36 PM
Izvrsena je manuelna optimizacija  CalculationEngine  5/27/2020 1:12:28 PM
Izvrsena je manuelna optimizacija  CalculationEngine  5/27/2020 1:14:44 PM
Izvrsena je manuelna optimizacija  CalculationEngine  5/29/2020 12:40:43 PM
Izvrsena je manuelna optimizacija  CalculationEngine  5/29/2020 1:01:11 PM
Izvrsena je automatska optimizacija  CalculationEngine  5/29/2020 6:29:54 PM
Izvrsena je automatska optimizacija  CalculationEngine  5/29/2020 6:29:58 PM
Izvrsena je automatska optimizacija  CalculationEngine  5/30/2020 11:43:02 AM
Izvrsena je automatska optimizacija  CalculationEngine  6/3/2020 10:10:47 PM
Izvrsena je manuelna optimizacija  CalculationEngine  6/3/2020 10:10:59 PM
Izvrsena je automatska optimizacija  CalculationEngine  6/3/2020 10:15:32 PM
Izvrsena je automatska optimizacija  CalculationEngine  6/3/2020 10:19:14 PM
Izvrsena je automatska optimizacija  CalculationEngine  6/3/2020 10:21:48 PM
Izvrsena je automatska optimizacija  CalculationEngine  6/3/2020 10:21:55 PM
Izvrsena je manuelna optimizacija  CalculationEngine  6/3/2020 10:22:04 PM
Izvrsena je automatska optimizacija  CalculationEngine  6/3/2020 10:27:56 PM
Izvrsena je automatska optimizacija  CalculationEngine  6/3/2020 10:34:09 PM
Izvrsena je automatska optimizacija  CalculationEngine  6/3/2020 10:37:34 PM
Izvrsena je automatska optimizacija  CalculationEngine  6/3/2020 10:40:37 PM
Izvrsena je automatska optimizacija  CalculationEngine  6/3/2020 10:48:18 PM
